version,method,interview_id,section_id,section_title,score,rank
mwe,bm25,I00000,S00132,En el pasado también perseguían el pensamiento y la acción política alternativa,786.0426706124048,1
mwe,bm25,I00000,S00015,Asesinatos selectivos en el conflicto armado: las víctimas incómodas,718.9614153843077,2
mwe,bm25,I00000,S00016,«Un privilegio seguir vivos»: atentados al derecho a la vida,707.053223294592,3
mwe,bm25,I00000,S00122,La imposición del control social de la población civil por el paramilitarismo,688.1533494090951,4
mwe,bm25,I00000,S00171,«Esto no puede estar pasando»: sobre las violaciones de derechos humanos e infracciones al DIH,677.1300794345844,5
mwe,bm25,I00001,S00016,«Un privilegio seguir vivos»: atentados al derecho a la vida,312.36503554035335,1
mwe,bm25,I00001,S00054,Las distintas violencias sexuales en el conflicto armado,305.96478185097186,2
mwe,bm25,I00001,S00119,El orden y la disciplina interna de los grupos armados,304.9293411142657,3
mwe,bm25,I00001,S00115,Financiar la guerra y la sostenibilidad material de los grupos armados,299.487500965561,4
mwe,bm25,I00001,S00026,Entre la indiferencia y la búsqueda,292.9576254947942,5
mwe,bm25,I00002,S00016,«Un privilegio seguir vivos»: atentados al derecho a la vida,678.8845228954704,1
mwe,bm25,I00002,S00115,Financiar la guerra y la sostenibilidad material de los grupos armados,675.4997981409946,2
mwe,bm25,I00002,S00015,Asesinatos selectivos en el conflicto armado: las víctimas incómodas,674.5244713781634,3
mwe,bm25,I00002,S00132,En el pasado también perseguían el pensamiento y la acción política alternativa,661.2127058048075,4
mwe,bm25,I00002,S00140,Atacar los diálogos para la solución política,650.446358289836,5
mwe,bm25,I00003,S00016,«Un privilegio seguir vivos»: atentados al derecho a la vida,489.1606865053982,1
mwe,bm25,I00003,S00015,Asesinatos selectivos en el conflicto armado: las víctimas incómodas,437.86296116091256,2
mwe,bm25,I00003,S00140,Atacar los diálogos para la solución política,423.6657114891626,3
mwe,bm25,I00003,S00119,El orden y la disciplina interna de los grupos armados,423.0619526485062,4
mwe,bm25,I00003,S00014,"Las masacres como pérdida colectiva: «Todos los días había sepelios, había entierros, muertos, porque el actuar fue tremendo»",421.27893480039063,5
mwe,bm25,I00004,S00115,Financiar la guerra y la sostenibilidad material de los grupos armados,459.0535041612413,1
mwe,bm25,I00004,S00140,Atacar los diálogos para la solución política,449.59080686767766,2
mwe,bm25,I00004,S00016,«Un privilegio seguir vivos»: atentados al derecho a la vida,434.6943038449398,3
mwe,bm25,I00004,S00142,"Maniobras para abrir, obstaculizar o romper los procesos de diálogo",428.62935020560786,4
mwe,bm25,I00004,S00015,Asesinatos selectivos en el conflicto armado: las víctimas incómodas,428.50690887796844,5
