relevancia,coherencia,fidelidad,query
1.0,1.0,1.0,¿Qué papel tuvieron los actores civiles en el conflicto armado colombiano?
0.0,0.0,0.0,¿Cómo explica la Comisión las causas y responsabilidades de las violaciones de derechos humanos?
0.0,0.0,0.0,¿Cómo documenta la Comisión las prácticas de reclutamiento forzado y secuestro como estrategias de guerra?
1.0,1.0,1.0,¿Cómo contribuyeron la disciplina interna y las normas de control social de los grupos armados al mantenimiento de la violencia?
1.0,1.0,1.0,¿Qué impacto tuvo el desplazamiento forzado sobre comunidades afrocolombianas?
1.0,1.0,1.0,¿Cuáles fueron los principales patrones de violaciones a los derechos humanos?
1.0,2.0,1.0,¿Cómo participaron las empresas privadas en el conflicto armado?
1.0,1.0,1.0,¿Qué papel jugaron las fuerzas armadas del Estado?
1.0,1.0,1.0,¿Qué políticas se propusieron para garantizar la no repetición?
0.0,0.0,0.0,¿Cómo se aborda la verdad y la reconciliación en el informe final?
