query,rougeL_f,latency_s
¿Qué papel tuvieron los actores civiles en el conflicto armado colombiano?,0.1503,0.47
¿Cómo explica la Comisión las causas y responsabilidades de las violaciones de derechos humanos?,0.3729,0.1
¿Cómo documenta la Comisión las prácticas de reclutamiento forzado y secuestro como estrategias de guerra?,0.0,0.08
¿Cómo contribuyeron la disciplina interna y las normas de control social de los grupos armados al mantenimiento de la violencia?,0.1751,0.07
¿Qué impacto tuvo el desplazamiento forzado sobre comunidades afrocolombianas?,0.0,0.11
¿Cuáles fueron los principales patrones de violaciones a los derechos humanos?,0.5361,0.08
¿Cómo participaron las empresas privadas en el conflicto armado?,0.4598,0.08
¿Qué papel jugaron las fuerzas armadas del Estado?,0.0,0.13
¿Qué políticas se propusieron para garantizar la no repetición?,0.0,0.07
¿Cómo se aborda la verdad y la reconciliación en el informe final?,0.6876,0.05
